"PREF","1920","1925","1930","1935","1940","1945","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"北海道",2359183,2498679,2812335,3068282,3272718,3518389,4295567,4773087,5039206,5171800,5184287,5338206,5575989,5679439,5643647,5692321,5683062,5627737,5506419,5381733,5224614
"青森県",756454,812977,879914,967129,1000509,1083250,1282867,1382523,1426606,1416591,1427520,1468646,1523907,1524448,1482873,1481663,1475728,1436657,1373339,1308265,1237984
"岩手県",845540,900984,975771,1046111,1095793,1227789,1346728,1427097,1448517,1411118,1371383,1385563,1421927,1433611,1416928,1419505,1416180,1385041,1330147,1279594,1210534
"宮城県",961768,1044036,1142784,1234801,1271238,1462254,1663442,1727065,1743195,1753126,1819223,1955267,2082320,2176295,2248558,2328739,2365320,2360218,2348165,2333899,2301996
"秋田県",898537,936408,987706,1037744,1052275,1211871,1309031,1348871,1335580,1279835,1241376,1232481,1256745,1254032,1227478,1213667,1189279,1145501,1085997,1023119,959502
"山形県",968925,1027297,1080034,1116822,1119338,1326350,1357347,1353649,1320664,1263103,1225618,1220302,1251917,1261662,1258390,1256958,1244147,1216181,1168924,1123891,1068027
"福島県",1362750,1437596,1508150,1581563,1625521,1957356,2062394,2095237,2051137,1983754,1946077,1970616,2035272,2080304,2104058,2133592,2126935,2091319,2029064,1914039,1833152
"茨城県",1350400,1409092,1487097,1548991,1620000,1944344,2039418,2064037,2047024,2056154,2143551,2342198,2558007,2725005,2845382,2955530,2985676,2975167,2969770,2916976,2867009
"栃木県",1046479,1090428,1141737,1195057,1206657,1546355,1550462,1547580,1513624,1521656,1580021,1698003,1792201,1866066,1935168,1984390,2004817,2016631,2007683,1974255,1933146
"群馬県",1052610,1118858,1186080,1242453,1299027,1546081,1601380,1613549,1578476,1605584,1658909,1756480,1848562,1921259,1966265,2003540,2024852,2024135,2008068,1973115,1939110
"埼玉県",1319533,1394461,1459172,1528854,1608039,2047261,2146445,2262623,2430871,3014983,3866472,4821340,5420480,5863678,6405319,6759311,6938006,7054243,7194556,7266534,7344765
"千葉県",1336155,1399257,1470121,1546394,1588425,1966862,2139037,2205060,2306010,2701770,3366624,4149147,4735424,5148163,5555429,5797782,5926285,6056462,6216289,6222666,6284480
"東京都",3699428,4485144,5408678,6369919,7354971,3488284,6277500,8037084,9683802,10869244,11408071,11673554,11618281,11829363,11855563,11773605,12064101,12576601,13159388,13515271,14047594
"神奈川県",1323390,1416792,1619606,1840005,2188974,1865667,2487665,2919497,3443176,4430743,5472247,6397748,6924348,7431974,7980391,8245900,8489974,8791597,9048331,9126214,9237337
"新潟県",1776474,1849807,1933326,1995777,2064402,2389653,2460997,2473492,2442037,2398931,2360982,2391938,2451357,2478470,2474583,2488364,2475733,2431459,2374450,2304264,2201272
"富山県",724276,749243,778953,798890,822569,953834,1008790,1021121,1032614,1025465,1029695,1070791,1103459,1118369,1120161,1123125,1120851,1111729,1093247,1066328,1034814
"石川県",747360,750854,756835,768416,757676,887510,957279,966187,973418,980499,1002420,1069872,1119304,1152325,1164628,1180068,1180977,1174026,1169788,1154008,1132526
"福井県",599155,597899,618144,646659,643904,724856,752374,754055,752696,750557,744230,773599,794354,817633,823585,826996,828944,821592,806314,786740,766863
"山梨県",583453,600675,631042,646727,663026,839057,811369,807044,782062,763194,762029,783050,804256,832832,852966,881996,888172,884515,863075,834930,809974
"長野県",1562722,1629217,1717118,1714000,1710729,2121050,2060831,2021292,1981433,1958007,1956917,2017564,2083934,2136927,2156627,2193984,2215168,2196114,2152449,2098804,2048011
"岐阜県",1070407,1132557,1178405,1225799,1265024,1518649,1544538,1583605,1638399,1700365,1758954,1867978,1960107,2028536,2066569,2100315,2107700,2107226,2080773,2031903,1978742
"静岡県",1550387,1671217,1797805,1939860,2017860,2220358,2471472,2650435,2756271,2912521,3089895,3308799,3446804,3574692,3670840,3737689,3767393,3792377,3765007,3700305,3633202
"愛知県",2089762,2319494,2567413,2862701,3166592,2857851,3390585,3769209,4206313,4798653,5386163,5923569,6221638,6455172,6690603,6868336,7043300,7254704,7410719,7483128,7542415
"三重県",1069270,1107692,1157407,1174595,1198783,1394286,1461197,1485582,1485054,1514467,1543083,1626002,1686936,1747311,1792514,1841358,1857339,1866963,1854724,1815865,1770254
"滋賀県",651050,662412,691631,711436,703679,860911,861180,853734,842695,853385,889768,985621,1079898,1155844,1222411,1287005,1342832,1380361,1410777,1412916,1413610
"京都府",1287147,1406382,1552832,1702508,1729993,1603796,1832934,1935161,1993403,2102808,2250087,2424856,2527330,2586574,2602460,2629592,2644391,2647660,2636092,2610353,2578087
"大阪府",2587847,3059502,3540017,4297174,4792966,2800958,3857047,4618308,5504746,6657189,7620480,8278925,8473446,8668095,8734516,8797268,8805081,8817166,8865245,8839469,8837685
"兵庫県",2301799,2454679,2646301,2923249,3221232,2821892,3309935,3620947,3906487,4309944,4667928,4992140,5144892,5278050,5405040,5401877,5550574,5590601,5588133,5534800,5465002
"奈良県",564607,583828,596225,620471,620509,779685,763883,776861,781058,825965,930160,1077491,1209365,1304866,1375481,1430862,1442795,1421310,1400728,1364316,1324473
"和歌山県",750411,787511,830748,864087,865074,936006,982113,1006819,1002191,1026975,1042736,1072118,1087012,1087206,1074325,1080435,1069912,1035969,1002198,963579,922584
"鳥取県",454675,472230,489266,490461,484390,563220,600177,614259,599135,579853,568777,581311,604221,616024,615722,614929,613289,607012,588667,573441,553407
"島根県",714712,722402,739507,747119,740940,860275,912551,929066,888886,821620,773575,768886,784795,794629,781021,771441,761503,742223,717397,694352,671126
"岡山県",1217698,1238447,1283962,1332647,1329358,1564626,1661099,1689800,1670454,1645135,1707026,1814305,1871023,1916906,1925877,1950750,1950828,1957264,1945276,1921525,1888432
"広島県",1541905,1617680,1692136,1804916,1869504,1885471,2081967,2149044,2184043,2281146,2436135,2646324,2739161,2819200,2849847,2881748,2878915,2876642,2860750,2843990,2799702
"山口県",1041013,1094544,1135637,1190542,1294242,1356491,1540882,1609839,1602207,1543573,1511448,1555218,1587079,1601627,1572616,1555543,1527964,1492606,1451338,1404729,1342059
"徳島県",670212,689814,716544,728748,718717,835763,878511,878109,847274,815115,791111,805166,825261,834889,831598,832427,824108,809950,785491,755733,719559
"香川県",677852,700308,732816,748656,730394,863700,946022,943823,918867,900845,907897,961292,999864,1022569,1023412,1027006,1022890,1012400,995842,976263,950244
"愛媛県",1046720,1096366,1142122,1164898,1178705,1361484,1521878,1540628,1500687,1446384,1418124,1465215,1506637,1529983,1515025,1506700,1493092,1467815,1431493,1385262,1334841
"高知県",670895,687478,718152,714980,709286,775578,873874,882683,854595,812714,786882,808397,831275,839784,825034,816704,813949,796292,764456,728276,691527
"福岡県",2188249,2301668,2527119,2755804,3094132,2746855,3530169,3859764,4006679,3964611,4027416,4292963,4553461,4719259,4811050,4933393,5015699,5049908,5071968,5101556,5135214
